"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"dIDP","N/F","7650755","12910309","N/F","4659789","14363755","13655554","10850505","11669660","6768088","12996951","N/F","6125640","11021291","12563650","8476848","12953008","11980769"
"Uvarigranol C","318946","131694","836511","N/F","40311","N/F","N/F","N/F","N/F","172469","N/F","75437","177822","N/F","N/F","N/F","122429","94615"
"2-Hydroxytetracosanoic acid ethyl ester","  798708"," 7725635"," 2679070","   63022"," 4036817","   31782","   24694"," 1709242"," 3188027","22966051"," 8703065","12433344","  845554"," 2518188"," 2168532"," 9886170"," 4610803"," 3888285"
"Diacerein_HCOO","16042","21038","15634","N/F","27349","N/F","14654","N/F","N/F","16872","N/F","N/F","N/F","N/F","N/F","71522","22987","28650"
"Asperuloside"," 948612","1874311"," 947195","1550895","1096875","1656785","1679447","2017554","1624118","1117599","1983807","1962520"," 277770"," 884951","1265433"," 653378"," 566430"," 691301"
"2-Acetoxy-3-deacetoxycaesaldekarin E","276314","529751","192834","744030","569421","451182","N/F","N/F","N/F","129703","254727","62925","N/F","N/F","N/F","489064","523214","524093"
"10,11-Dimethoxy-17-epi-alpha-yohimbine","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","16982","N/F","N/F"
"19(S)-Hydroxyconopharyngine","166934.90","288442.58","152818.33","449205.95","182980.38","554977.24","383605.56","173249.20","292849.46","113801.60"," 87709.21","173832.50"," 94472.97",NA," 64842.83","146428.95","162067.37","353005.05"
"Crassanine","166934.90","288442.58","152818.33","449205.95","182980.38","554977.24","383605.56","173249.20","292849.46","113801.60"," 87709.21","173832.50"," 94472.97",NA," 64842.83","146428.95","162067.37","353005.05"
"Eleutheroside B/Syringin _HCOO","3190781","1780967","2582619","2341400","1366732","2960543","2551827","1564499","2543008","2671070","1170607","2661480","2343789","1845901","2454646","2589163","2248013","2138906"
"Secoxyloganin methyl ester","3190781","1780967","2582619","2341400","1366732","2960543","2551827","1564499","2543008","2671070","1170607","2661480","2343789","1845901","2454646","2589163","2248013","2138906"
"(+)-Syringaresinol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"(-)-Syringaresinol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Albaspidin AP","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Demethylpseudolaric acid B","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Episyringaresinol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Olivil monoacetate","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Picropodophyllol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Podophyllol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Syringaresinol","617173","451103","234078","755260","481742","565791","389136","198875","340262","375890","257858","229437","352926","133887","160278","638844","577366","585168"
"Casticin_HCOO","4054539","3981074","2893015","8690929","7725012","9464483","154204","132376","42901","1661098","2453017","1397067","N/F","N/F","N/F","604143","572927","434131"
"Sesamoside"," 561990"," 825206"," 818195"," 448451"," 570345"," 949524"," 462383"," 378302"," 385871"," 503504"," 411556"," 543850"," 457255"," 537149"," 550430","2043175","1698723","1885057"
"Swertiamarin_HCOO"," 561990"," 825206"," 818195"," 448451"," 570345"," 949524"," 462383"," 378302"," 385871"," 503504"," 411556"," 543850"," 457255"," 537149"," 550430","2043175","1698723","1885057"
"Geniposidic acid_HCOO"," 561990"," 825206"," 818195"," 448451"," 570345"," 949524"," 462383"," 378302"," 385871"," 503504"," 411556"," 543850"," 457255"," 537149"," 550430","2043175","1698723","1885057"
"Trehalose 6-phosphate","68221950","54849870","66576569","54067198","58356677","64269428","60627068","62617608","64251791","65717762","62595869","71442412","63873381","69352673","68792421","67159656","60711914","62480500"
"Mangiferin","68221950","54849870","66576569","54067198","58356677","64269428","60627068","62617608","64251791","65717762","62595869","71442412","63873381","69352673","68792421","67010637","60711914","62480500"
"Isomangiferin","68221950","54849870","66576569","54067198","58356677","64269428","60627068","62617608","64251791","65717762","62595869","71442412","63873381","69352673","68792421","67010637","60711914","62480500"
"6?-Hydroxyipolamiide","475580","490680","109294","801933","549884","639859","N/F","164369","26121","314547","261984","217859","N/F","N/F","N/F","22115","60176","157944"
"Lamiide","475580","490680","109294","801933","549884","639859","N/F","164369","26121","314547","261984","217859","N/F","N/F","N/F","22115","60176","157944"
"Loganic acid_HCOO","475580","490680","109294","801933","549884","639859","N/F","164369","26121","314547","261984","217859","N/F","N/F","N/F","22115","60176","157944"
"Piptocarphin A"," 1752987"," 3433636"," 1980223"," 1881377"," 1492535"," 2178259"," 2583735"," 3018618"," 3993522"," 1921108"," 1815798"," 2263987"," 6959489"," 9755870","12896107"," 4888029"," 4200916"," 4328339"
"8-Epicrepiside E","64482","97642","25673","N/F","25447","N/F","445791","N/F","98745","79191","528262","652500","N/F","N/F","N/F","118111","169607","188239"
"Didrovaltrate","171778","64701","33899","143364","466419","128054","55207","135258","48001","18274","299287","104797","N/F","N/F","N/F","N/F","N/F","N/F"
"LPA(17:0)","4074377","N/F","N/F","4978298","5376532","2586806","1655041","2888056","N/F","2798087","2293504","6887017","33202797","N/F","1712733","4150516","868112","7216848"
"S-Glutathionyl-L-cysteine","3294797","3894608","3586275","2265841","1542781","1392166","883694","335174","623006","3128266","1752745","1610642","686547","N/F","969394","3219837","4008290","3714035"
"Peucedanol 7-O-glucoside","345697","1062814","559660","856760","818723","1473186","N/F","N/F","N/F","150928","230273","167869","57900","N/F","N/F","4811724","4568979","4673546"
"Yadanziolide A","345697","1062814","559660","856760","818723","1473186","N/F","N/F","N/F","150928","230273","167869","57900","N/F","N/F","4811724","4568979","4673546"
"Peucedanol 3'-O-glucoside","345697","1062814","559660","856760","818723","1473186","N/F","N/F","N/F","150928","230273","167869","57900","N/F","N/F","4811724","4568979","4673546"
"Epipterosin L 2'-O-glucoside","4448029","1834478","2441734","4034969","2796978","2215374","2327054","3091768","2548184","2310804","2681721","2556295","1341472","1582604","1825567","2774575","2736543","2787481"
"Onitisin 2'-O-glucoside","4448029","1834478","2441734","4034969","2796978","2215374","2327054","3091768","2548184","2310804","2681721","2556295","1341472","1582604","1825567","2774575","2736543","2787481"
"2'-deoxyguanosine 5'-diphosphate","90835358","66119355","80894791","52292455","32385223","40647924","28694200","23953146","23890625","55038146","55123526","64153087","16784296","13280055","18726184","25532434","22180358","23807861"
"Adenosine 5'-diphosphate(ADP)","90835358","66119355","80894791","52292455","32385223","40647924","28694200","23953146","23890625","47345295","55123526","50718263","16784296","13280055","18726184","25532434","22180358","23807861"
"IDP","N/F","N/F","N/F","N/F","N/F","274748","N/F","N/F","N/F","N/F","N/F","102104","775703","N/F","N/F","626839","N/F","N/F"
"??-acetoxyisovalerylalkannin","2614908","3650963","2608320","7877594","4884638","7821082","1641915"," 405479"," 826425","1625669"," 587097","1075923","1939203","1521954","1274838","1747486","1448628","1562096"
"Episesartemin A","2614908","3650963","2608320","7877594","4884638","7821082","1641915"," 405479"," 826425","1625669"," 587097","1075923","1939203","1521954","1274838","1747486","1448628","1562096"
"Sesartemin","2614908","3650963","2608320","7877594","4884638","7821082","1641915"," 405479"," 826425","1625669"," 587097","1075923","1939203","1521954","1274838","1747486","1448628","1562096"
"Artesunate_HCOO","1808315","3464534","1882513","3588762","2501063","3147263","1381143","3316921","1281639","1575498","1764118","1262781","1115782","2379469","1740330"," 917828"," 970967","1011331"
"Rivulobirin B","2406495","3037015","2323127","3998934","2852564","5372603","3145916","  41211"," 175411","2207277"," 112518"," 915893"," 258797","2559800"," 615316"," 266700","2081560"," 604939"
"3',4',5',3,5,6,7-Heptamethoxyflavone"," 594619","1185029"," 914219"," 658457"," 599577"," 653858","1016359","1326300"," 872794"," 604492"," 851140"," 819754","1056984","1763415","1410393"," 427073"," 642118"," 663899"
"3,5,6,7,8,3',4'-Heptamethoxyflavone"," 594619","1185029"," 914219"," 658457"," 599577"," 653858","1016359","1326300"," 872794"," 604492"," 851140"," 819754","1056984","1763415","1410393"," 427073"," 642118"," 663899"
"3,5,7,8,3',4',5'-Heptamethoxyflavone"," 594619","1185029"," 914219"," 658457"," 599577"," 653858","1016359","1326300"," 872794"," 604492"," 851140"," 819754","1056984","1763415","1410393"," 427073"," 642118"," 663899"
"5-MethoxyPinocembroside"," 594619","1185029"," 914219"," 658457"," 599577"," 653858","1016359","1326300"," 872794"," 604492"," 851140"," 819754","1056984","1763415","1410393"," 427073"," 642118"," 663899"
"6-Ethoxygeniposide","20613051","45551538","21532670","42586843","52278783","57895784"," 4773760"," 4389156"," 2860553"," 9098188","15992833"," 6479530"," 1037489"," 1657185"," 1139832","19185014","19316340","21102398"
"Bufalin_HCOO"," 4356637"," 3179534"," 2680621"," 3725097"," 2161526"," 1907340","11511197"," 9117581","12848386"," 4187035"," 5345603"," 4881921","27795049","61265191","61033861","22884240","27159459","26536549"
"Avicularin","293861","643164","225657","427309","521675","379496","16124","N/F","31091","95123","232394","112459","N/F","27566","15710","495332","447515","491123"
"Guaijaverin","293861","643164","225657","427309","521675","379496","16124","N/F","31091","95123","232394","112459","N/F","27566","15710","495332","447515","491123"
"Quercetin 3-O-??-D-xylopyranoside","293861","643164","225657","427309","521675","379496","16124","N/F","31091","95123","232394","112459","N/F","27566","15710","495332","447515","491123"
"Reynoutrin","293861","643164","225657","427309","521675","379496","16124","N/F","31091","95123","232394","112459","N/F","27566","15710","495332","447515","491123"
"7-O-Ethylmorroniside","4214074","4927581","5670877","4793644","3523269","4233689","5681550","3347850","3708887","4293937","4170774","5376778","3160357","3199238","3265247","3899657","3401972","3639464"
"Secologanin dimethyl acetal","4214074","4927581","5670877","4793644","3523269","4233689","5681550","3347850","3708887","4293937","4170774","5376778","3160357","3199238","3265247","3899657","3401972","3639464"
"Vernolide B"," 3515640"," 7510674"," 4805168"," 4370807"," 5366015"," 3235086"," 9759208"," 6032956"," 8220361"," 7692955","10553228","10504127","13307442","14088875"," 9551690"," 5575844"," 8406183"," 5432680"
"LPA(18:2)","22571886","22964865","20160633","12567351"," 6493612"," 8054349"," 2694595"," 1901034"," 2143255","10409835","11952730"," 9289222"," 1383523"," 1280905"," 2942017"," 6522210"," 1520029"," 2311760"
"7-O-Methylmangiferin"," 416583"," 431277"," 425573"," 635441"," 403821"," 710368"," 757915"," 622703"," 885125"," 412614"," 506210"," 441230","2036266","1948209","4193949","1632702","1440665","1617386"
"Erigeside I"," 416583"," 431277"," 425573"," 635441"," 403821"," 710368"," 757915"," 622703"," 885125"," 412614"," 506210"," 441230","2036266","1948209","4193949","1632702","1440665","1617386"
"Swertianolin"," 416583"," 431277"," 425573"," 635441"," 403821"," 710368"," 757915"," 622703"," 885125"," 412614"," 506210"," 441230","2036266","1948209","4193949","1632702","1440665","1617386"
"Taxifolin 3-O-xyloside"," 416583"," 431277"," 425573"," 635441"," 403821"," 710368"," 757915"," 622703"," 885125"," 412614"," 506210"," 441230","2036266","1948209","4193949","1632702","1440665","1617386"
"Catechin 3-rhamnoside","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Glochicoccin D","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Phloridzin","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Phlorizin","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Polydatin_HCOO","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Trilobatin","1667817","4786303","3051395","8196479","5852277","16517173","302278","343211","447842","1067909","774090","1646246","N/F","N/F","N/F","91443","61387","106370"
"Forskolin G"," 568331"," 452277"," 554943","1005579"," 294372"," 911866","1040828"," 418631"," 801000"," 600120"," 180171"," 533751","1302327"," 805460","1739805"," 208439"," 256960"," 234820"
"LPA(18:1)","1670078","2135077","1700625","1074347","709929","1024017","71895","187465","N/F","893267","1261216","970024","152133","73352","249522","821055","181001","153285"
"Furowanin A","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","35055","N/F","N/F","N/F","N/F","N/F","N/F"
"Millewanin G","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","35055","N/F","N/F","N/F","N/F","N/F","N/F"
"Millewanin H","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","35055","N/F","N/F","N/F","N/F","N/F","N/F"
"Morusinol","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","35055","N/F","N/F","N/F","N/F","N/F","N/F"
"Ginkgolide C","133987","193980","200197","179290","313202","402863","N/F","N/F","N/F","102485","24321","23354","N/F","N/F","N/F","N/F","N/F","N/F"
"erythro-Guaiacylglycerol ?-threo-syringylglycerol ether","N/F","24261","14118","N/F","41573","49073","N/F","N/F","21969","10610","11808","10431","N/F","N/F","N/F","104278","128529","95208"
"8-Isomulberrin hydrate","48979","38625","2856099","N/F","33072","N/F","38292","37852","N/F","514092","927461","2483024","N/F","N/F","N/F","46151","N/F","41404"
"Kushenol L","48979","38625","2856099","N/F","33072","N/F","38292","37852","N/F","514092","927461","2483024","N/F","N/F","N/F","46151","N/F","41404"
"Kushenol X","48979","38625","2856099","N/F","33072","N/F","38292","37852","N/F","514092","927461","2483024","N/F","N/F","N/F","46151","N/F","41404"
"(-)-Epicatechin gallate","N/F","13467","N/F","20040","N/F","53643","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","74203","N/F","41673"
"Catechin gallate","N/F","13467","N/F","20040","N/F","53643","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","74203","N/F","41673"
"CDP-ethanolamine","156941","408150","133667","343133","329924","232961","N/F","34211","N/F","91777","198134","25180","N/F","N/F","N/F","439371","736882","709016"
"Apigenin 7-glucuronide","3403838","1421957","4403601"," 272438"," 777689"," 505248","3315230","4631721","1364098","4651404","2832716","5966789","  80434","  29805","  27807"," 704911"," 484363"," 545517"
"Baicalin","3403838","1421957","4403601"," 272438"," 777689"," 505248","3315230","4631721","1364098","4651404","2832716","5966789","  80434","  29805","  27807"," 704911"," 484363"," 545517"
"glychionide","3403838","1421957","4403601"," 272438"," 777689"," 505248","3315230","4631721","1364098","4651404","2832716","5966789","  80434","  29805","  27807"," 704911"," 484363"," 545517"
"Paederoside","3403838","1421957","4403601"," 272438"," 777689"," 505248","3315230","4631721","1364098","4651404","2832716","5966789","  80434","  29805","  27807"," 704911"," 484363"," 545517"
"Daphylloside","521488","897231","445661","849517","1628084","1534381","164192","112244","62604","399227","222446","249220","N/F","34877","54254","366540","399336","430431"
"Gaultherin","521488","897231","445661","849517","1628084","1534381","164192","112244","62604","399227","222446","249220","N/F","34877","54254","366540","399336","430431"
"Uvedalin","589200","1130915","432567","1452079","1300885","938332","36988","118271","N/F","335042","509404","93489","N/F","N/F","N/F","989428","1046897","1056499"
"Atractyloside A","2086498","2337080","5315505","1624133","3164423","6365150","1289472","3906631","5381620","1107210","2347164","4790135","2094095","4639079","7879548","5098932","5703383","5841622"
"11,12-Di-O-acetyltenacigenin B","107863","49041","N/F","35802","37613","N/F","957833","983192","1028745","279428","122854","N/F","30842","3371204","2530896","2256856","2319740","2293564"
"Asebotin","1698764"," 491612","  93812"," 434216"," 705273","1403644"," 841650","1707944","1123673"," 757286","1243544"," 825259"," 435509"," 312723"," 451202"," 668803"," 493619"," 719952"
"Celastrol","89965","277996","345244","242390","N/F","86457","N/F","N/F","N/F","113341","N/F","278408","20056581","1863812","N/F","302003","674421","53266"
"Nuezhenidic acid","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","321452","336152","286432"
"8-O-Acetylharpagide_HCOO","147006","549343","131426","607887","766540","822235","N/F","N/F","N/F","87508","65556","N/F","N/F","N/F","N/F","70002","91529","136319"
"Morroniside_HCOO","147006","549343","131426","607887","766540","822235","N/F","N/F","N/F","87508","65556","N/F","N/F","N/F","N/F","70002","91529","136319"
"Shanzhiside methyl ester_HCOO","147006","549343","131426","607887","766540","822235","N/F","N/F","N/F","87508","65556","N/F","N/F","N/F","N/F","70002","91529","136319"
"Forskolin J","N/F","N/F","N/F","16194","14346","N/F","N/F","N/F","N/F","13581","58213","18172","52188","50377","N/F","N/F","N/F","N/F"
"Dodoviscin H","10630731","12837163"," 4354371","34647969","10043288","12551385","  130944","  202371","  217608"," 8859799"," 2338349"," 1935349","  451371","  926102","  367220","  198970","  486202","  253718"
"Obacunone","10765927.1","13071798.9"," 4756000.7","35056121.6","10182514.6","12597108.8","  284110.1","  303436.6","  379066.9"," 8872792.9"," 2335937.4"," 1932217.5","  570448.5","  926032.2","  366703.1"," 1587661.1","  483685.0","  433982.6"
"LPG(14:1)","72738","N/F","110977","58833","N/F","N/F","855833","649242","1004231","47255","134102","33794","2162064","5609763","4882809","1496727","2200216","2314557"
"15-Demethylplumieride","289626","219559","243130","256657","244168","477369","59996","N/F","N/F","167027","147729","134032","34752","N/F","N/F","353970","291188","350597"
"Aloenin_HCOO","289626","219559","243130","256657","244168","477369","59996","N/F","N/F","167027","147729","134032","34752","N/F","N/F","353970","291188","350597"
"Apiosylskimmin","289626","219559","243130","256657","244168","477369","59996","N/F","N/F","167027","147729","134032","34752","N/F","N/F","353970","291188","350597"
"7,4'-Di-O-methylapigenin 5-O-glucoside","7799854","11049886","5318757","20976494","19485669","23503065","358362","315674","110972","2759103","3632728","1670808","18525","31348","N/F","3838891","4100765","4147857"
"Andrographidine C","7799854","11049886","5318757","20976494","19485669","23503065","358362","315674","110972","2759103","3632728","1670808","18525","31348","N/F","3838891","4100765","4147857"
"Picropodophyllotoxin_HCOO","7799854","11049886","5318757","20976494","19485669","23503065","358362","315674","110972","2759103","3632728","1670808","18525","31348","N/F","3838891","4100765","4147857"
"Chrysophanol 8-O-beta-D-glucoside _HCOO","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"Daidzin_HCOO","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"Diosmetin-7-O-beta-D-glucopyranoside","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"Homoplantaginin","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"Tectoridin","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"5,8,4'-Trihydroxy-7-methoxyflavone 8-O-glucoside","406169","696143","301527","1034107","775172","854507","34934","16600","N/F","211813","343374","232844","N/F","N/F","N/F","291505","207364","252336"
"Latisxanthone C","851617","682455","658473","173067","203126","182314","N/F","N/F","N/F","120386","257193","173799","N/F","N/F","N/F","26892","N/F","N/F"
"Valerosidate","204931","370127","59747","356396","158016","121184","N/F","46828","30130","141763","104951","112962","N/F","N/F","22668","84791","128634","94503"
"Liquiritin_HCOO","743155","1848377","1637474","3602804","1352284","4557206","12286","37649","18134","307344","218950","733155","N/F","N/F","N/F","324740","290776","265660"
"Isoliquiritin _HCOO","743155","1848377","1637474","3602804","1352284","4557206","12286","37649","18134","307344","218950","733155","N/F","N/F","N/F","324740","290776","265660"
"Hesperetin 5-O-glucoside","743155","1848377","1637474","3602804","1352284","4557206","12286","37649","18134","307344","218950","733155","N/F","N/F","N/F","324740","290776","265660"
"Phlorigidoside B","  861282","  963911","  129551","  946050"," 1123556","  288138"," 2279642"," 1728312"," 1365565","  484822","  582095","  311763"," 5757167"," 6433730"," 3871997","12082054","10650026","11584619"
"Garciniaxanthone E","14617182","10646668","14596601","2172954","2490247","3141032","233814","91234","46820","3644288","4909386","3120603","102406","N/F","85617","451960","112359","58281"
"Isogarciniaxanthone E","14617182","10646668","14596601","2172954","2490247","3141032","233814","91234","46820","3644288","4909386","3120603","102406","N/F","85617","451960","112359","58281"
"Parvifolixanthone A","14617182","10646668","14596601","2172954","2490247","3141032","233814","91234","46820","3644288","4909386","3120603","102406","N/F","85617","451960","112359","58281"
"Delphinidin 3-Glucoside"," 815405","1631768","2975877"," 813538","1246676","1457802"," 406593"," 529540"," 821113"," 665900","1024231","1669913"," 339343"," 461514"," 493790"," 287047"," 263485"," 270855"
"(2S,3S)-(-)-Glucodistylin","N/F","N/F","772663","N/F","N/F","N/F","N/F","3322137","1015454","N/F","N/F","617815","N/F","113484","36673","872437","746275","910662"
"Plantagoside","N/F","N/F","772663","N/F","N/F","N/F","N/F","3322137","1015454","N/F","N/F","617815","N/F","113484","36673","872437","746275","910662"
"Taxifolin 3'-O-glucoside","N/F","N/F","772663","N/F","N/F","N/F","N/F","3322137","1015454","N/F","N/F","617815","N/F","113484","36673","872437","746275","910662"
"cholesterol sulfate","1183365","284974","284966","910707","1439279","1852228","221546","816950","517832","1042581","1181045","649824","1200507","N/F","889960","3270323","2381636","417513"
"dCTP"," 4479369"," 6630202"," 6807566"," 4497961"," 2920020"," 5545750"," 6424879"," 5763361"," 6846436"," 4800391"," 4344768"," 6036305"," 5778442"," 3748630","10137478"," 5958935"," 2842254"," 3600874"
"Prim-O-glucosylcimifugin","N/F","N/F","21082","N/F","N/F","19172","26957","N/F","N/F","N/F","N/F","N/F","22000","N/F","19545","N/F","N/F","N/F"
"Maoyerabdosin","11167908","348704","1137529","8086701","1819849","1746922","8833444","4909528","3251477","3951165","3132340","2243102","N/F","N/F","N/F","263264","306833","282879"
"Magnoflorine Iodide","N/F","N/F","39591","N/F","N/F","N/F","176839","N/F","8898","11105","62666","71351","N/F","N/F","N/F","432193","N/F","N/F"
"Moluccanin diacetate","2391067","1538259","3424867","2266052","1318550","4097606","2874583","1794359","3302608","2590509"," 684705","3243458","2338211","2115465","4651404","1331113","1211277","1360374"
"Ginkgolide B_HCOO","411453","106212","261294","568278","613691","143776","82738","102892","42373","366272","2297388","26534","24167","63108","37495","N/F","21786","27945"
"Ginkgolide J_HCOO","411453","106212","261294","568278","613691","143776","82738","102892","42373","366272","2297388","26534","24167","63108","37495","N/F","21786","27945"
"Plumieride","411453","106212","261294","568278","613691","143776","82738","102892","42373","366272","2297388","26534","24167","63108","37495","N/F","21786","27945"
"Sibirioside A","249944","208862","255363","359271","140254","458834","137604","42346","44097","85407","31410","126729","N/F","N/F","151923","5886902","4444524","4920398"
"Eugenol rutinoside","11488045"," 8512446","11052244","11851842"," 9602925","12761022","10799764"," 9294755"," 8979262","10654749"," 6875036","10080503"," 8580707"," 8262930"," 7732630","11317935","10538262","10986108"
"N5-Formyl-THF","N/F","N/F","N/F","N/F","N/F","20180","N/F","N/F","N/F","22735","N/F","N/F","N/F","N/F","N/F","1139279","333153","1017197"
"(+)-Puerol B 2""-O-glucoside","948240","573246","1364988","N/F","179522","161611","8480411","1093579","1465767","1519420","3207690","4335692","N/F","N/F","N/F","794111","370709","402023"
"Rosavin_HCOO"," 45919857"," 87082043"," 46825244"," 82808146"," 99417309","160626329","  7771919","  7877240","  4765958"," 26344778"," 22052559"," 15211613","  1157250","  1192512","   919816","  2131752","  1992833","  2062039"
"Ononin_HCOO","3409671","3399668","3141125","7436557","9789346","12840913","112417","322466","191586","1557221","1262316","1260453","11264","N/F","N/F","323590","324874","370513"
"Angeflorin","3395391","3397692","3147694","7438862","9758017","12647578","112417","325376","191586","1556925","1261492","1259984","11264","N/F","N/F","326676","324874","370913"
"Cirsimarin","3395391","3397692","3147694","7438862","9758017","12647578","112417","325376","191586","1556925","1261492","1259984","11264","N/F","N/F","326676","324874","370913"
"Isorhamnetin-3-O-beta-D-Glucoside","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Isorhamnetin-3-O-galactoside","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Mearnsitrin","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Nepetin-7-glucoside","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Sophoricoside_HCOO","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Isorhamnetin 3-O-glucoside","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Paederosidic acid methyl ester","802779","633450","589090","1095469","729900","1321844","145860","113539","17095","455974","390958","299358","N/F","N/F","N/F","221573","220848","237658"
"Calceolarioside B","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Isolindleyin","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Lindleyin","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Nyasicoside","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Persicoside","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Trilobatin 2''-acetate","1785211","2460847","2410594","3745950","4791391","5091693","679392","411046","438533","1609392","1309962","1296528","54649","12910","N/F","93938","101755","138615"
"Kelampayoside A"," 47324341","110667421"," 50507355"," 99478841","123755769","136937396"," 10555639","  9195579","  6295077"," 22091097"," 38686729"," 15763430","  2347007","  3235038","  2269436"," 45462393"," 41182289"," 45624853"
"11-O-Galloylbergenin","43595","N/F","156577","N/F","N/F","42680","N/F","N/F","75490","N/F","132865","34509","N/F","481986","N/F","32107","38932","N/F"
"4-O-Galloylbergenin","1523853.0","1585861.2","2790919.8","2496346.9","2487245.4","1882141.2","1571425.2","3389787.5","2149308.7","2079431.3","1968295.6","2114728.9","3801707.6"," 957285.7","3427445.8","1829671.3"," 298005.2"," 397309.2"
"Gossypin","1523853.0","1585861.2","2790919.8","2496346.9","2487245.4","1882141.2","1571425.2","3389787.5","2149308.7","2079431.3","1968295.6","2114728.9","3801707.6"," 957285.7","3427445.8","1829671.3"," 298005.2"," 397309.2"
"Myricetin 3-O-galactoside","1523853.0","1585861.2","2790919.8","2496346.9","2487245.4","1882141.2","1571425.2","3389787.5","2149308.7","2079431.3","1968295.6","2114728.9","3801707.6"," 957285.7","3427445.8","1829671.3"," 298005.2"," 397309.2"
